FID,PERIMETER,HYDRO_CODE,NAME,SHAPE_Length,SHAPE_Area
1,973644.208746,450,Allegheny River,142918.755930161,21014935.907415
2,973644.208746,450,Monongahela River,150352.335643646,20366182.0306078
3,973644.208746,450,Ohio River,98430.4467805194,18801799.3718042
4,0,0, ,75794.9003160411,4296817.03612761
