REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
437609,2020-06-02T13:01:00,Prostitution,Call Center,0,Police - Narcotics,Squirrel Hill South,5,14,42003140800,3,14,4,21-Feb,-79.92074092,40.43530014,APPROXIMATE
445584,2020-06-28T22:34:00,Prostitution,Report2Gov Android,0,Police - Narcotics,Bluff,6,1,42003010300,3,1,2,1-Feb,-79.9776547,40.43720252,APPROXIMATE
449443,2020-07-11T20:13:00,Prostitution,Report2Gov Android,0,Police - Narcotics,Crawford-Roberts,6,3,42003030500,3,3,2,1-Feb,-79.98115778,40.44052344,APPROXIMATE
451170,2020-07-16T20:46:00,Prostitution,Report2Gov Android,0,Police - Narcotics,Bluff,6,1,42003010300,3,1,2,1-Feb,-79.97775618,40.43757847,APPROXIMATE
452546,2020-07-22T14:55:00,Prostitution,Call Center,0,Police - Narcotics,Banksville,2,20,42003202300,5,20,6,9-Apr,-80.03576515,40.41275632,APPROXIMATE
454929,2020-07-31T12:01:00,Prostitution,Call Center,0,Police - Narcotics,Bluff,6,1,42003010300,3,1,2,1-Feb,-79.97763555,40.43719588,APPROXIMATE
459748,2020-08-18T09:33:00,Prostitution,Call Center,0,Police - Narcotics,East Liberty,9,11,42003111300,2,11,5,8-Mar,-79.92576218,40.46795674,APPROXIMATE
462736,2020-08-29T12:50:00,Prostitution,Website,0,Police - Narcotics,Homewood South,9,13,42003130400,2,13,5,17-Mar,-79.88897472,40.45067202,APPROXIMATE
466074,2020-09-11T21:36:00,Prostitution,Website,1,Police - Narcotics,Homewood South,9,13,42003130400,2,13,5,17-Mar,-79.889058,40.45077803,APPROXIMATE
470463,2020-10-01T12:03:00,Prostitution,Call Center,0,Police - Narcotics,Beechview,4,19,42003192000,5,19,6,28-Apr,-80.02635506,40.40213102,APPROXIMATE
474942,2020-10-24T16:34:00,Prostitution,Website,1,Police - Narcotics,Homewood South,9,13,42003130400,2,13,5,17-Mar,-79.88901198,40.45082082,APPROXIMATE
475828,2020-10-29T10:43:00,Prostitution,Call Center,0,Police - Narcotics,Upper Lawrenceville,7,10,42003101100,2,10,2,5-Mar,-79.95539777,40.48114596,APPROXIMATE
476325,2020-11-02T08:58:00,Prostitution,Call Center,0,Police - Narcotics,Carrick,4,29,42003290400,3,29,3,15-Apr,-79.98018498,40.38840003,APPROXIMATE
477498,2020-11-07T18:33:00,Prostitution,Website,1,Police - Narcotics,Homewood South,9,13,42003130400,2,13,5,17-Mar,-79.88899948,40.45073745,APPROXIMATE
481981,2020-12-06T19:37:00,Prostitution,Website,0,Police - Narcotics,Homewood South,9,13,42003130400,2,13,5,17-Mar,-79.88911876,40.45088723,APPROXIMATE
483342,2020-12-16T12:49:00,Prostitution,Website,0,Police - Narcotics,Homewood South,9,13,42003130400,2,13,5,17-Mar,-79.88910304,40.45090562,APPROXIMATE
485344,2020-12-18T00:43:00,Prostitution,Website,0,Police - Narcotics,Homewood North,9,13,42003130200,2,13,5,17-Mar,-79.89576124,40.45880247,APPROXIMATE
492167,2021-01-17T23:24:00,Prostitution,Website,0,Police - Narcotics,Homewood South,9,13,42003130400,2,13,5,17-Mar,-79.8890908,40.45083513,APPROXIMATE
493730,2021-01-27T11:20:00,Prostitution,Report2Gov iOS,0,Police - Narcotics,Central Northside,1,22,42003220600,1,22,1,21-Jan,-80.01266659,40.45541436,APPROXIMATE
501836,2021-02-16T12:22:00,Prostitution,Website,0,Police - Narcotics,Homewood South,9,13,42003130400,2,13,5,17-Mar,-79.88879089,40.45433258,APPROXIMATE
507141,2021-03-11T22:18:00,Prostitution,Website,0,Police - Narcotics,Homewood North,9,13,42003130200,2,13,5,17-Mar,-79.89541138,40.45890072,APPROXIMATE
507284,2021-03-12T13:00:00,Prostitution,Website,0,Police - Narcotics,South Side Flats,3,17,42003170200,3,17,3,24-Apr,-79.98510963,40.42719313,APPROXIMATE
507377,2021-03-12T19:46:00,Prostitution,Report2Gov iOS,0,Police - Narcotics,South Side Slopes,3,17,42003170600,3,17,3,5-Apr,-79.98972345,40.42583645,APPROXIMATE
508077,2021-03-16T19:26:00,Prostitution,Website,0,Police - Narcotics,Shadyside,8,7,42003070300,2,7,4,22-Mar,-79.93349745,40.452944,APPROXIMATE
512290,2021-04-05T09:21:00,Prostitution,Call Center,0,Police - Narcotics,Beltzhoover,3,18,42003562400,5,18,3,16-Apr,-80.0026046,40.41644836,APPROXIMATE
